Observer,Time step (s),Azimuth,Elevation,Range,Range Rate
Observer at position [  0 250   0],0.0,-1.55,0.02,250.10,1.97
Observer at position [  0 250   0],0.1,-1.53,0.04,250.39,3.88
Observer at position [  0 250   0],0.2,-1.51,0.06,250.87,5.72
Observer at position [  0 250   0],0.3,-1.49,0.08,251.53,7.50
Observer at position [  0 250   0],0.4,-1.47,0.09,252.37,9.20
Observer at position [  0 250   0],0.5,-1.45,0.11,253.37,10.84
Observer at position [  0 250   0],0.6,-1.43,0.13,254.53,12.40
Observer at position [  0 250   0],0.7,-1.41,0.14,255.85,13.89
Observer at position [  0 250   0],0.8,-1.39,0.16,257.31,15.31
Observer at position [  0 250   0],0.9,-1.37,0.18,258.91,16.66
Observer at position [  0 250   0],1.0,-1.35,0.19,260.64,17.93
Observer at position [  0 250   0],1.1,-1.34,0.20,262.49,19.14
Observer at position [  0 250   0],1.2,-1.32,0.22,264.47,20.28
Observer at position [  0 250   0],1.3,-1.30,0.23,266.55,21.35
Observer at position [  0 250   0],1.4,-1.28,0.24,268.73,22.36
Observer at position [  0 250   0],1.5,-1.26,0.25,271.02,23.30
Observer at position [  0 250   0],1.6,-1.24,0.26,273.39,24.18
Observer at position [  0 250   0],1.7,-1.23,0.27,275.85,25.01
Observer at position [  0 250   0],1.8,-1.21,0.28,278.39,25.78
Observer at position [  0 250   0],1.9,-1.19,0.29,281.01,26.49
Observer at position [  0 250   0],2.0,-1.17,0.30,283.69,27.15
Observer at position [  0 250   0],2.1,-1.16,0.31,286.43,27.77
Observer at position [  0 250   0],2.2,-1.14,0.31,289.24,28.34
Observer at position [  0 250   0],2.3,-1.12,0.32,292.10,28.86
Observer at position [  0 250   0],2.4,-1.11,0.33,295.01,29.34
Observer at position [  0 250   0],2.5,-1.09,0.33,297.97,29.79
Observer at position [  0 250   0],2.6,-1.08,0.34,300.97,30.19
Observer at position [  0 250   0],2.7,-1.06,0.34,304.01,30.56
